city,state_abbr,tracts,median_fdi,max_fdi,pct_high_distress,median_poverty,median_income,median_pct_black,total_pop
Albany,GA,29,49.5,70.8,3.4,27.5,39627.0,70.6,83915
Jackson,MS,67,45.3,62.5,0.0,24.2,44016.0,85.7,222494
Macon,GA,48,41.9,74.1,2.1,26.8,47889.0,51.5,156543
Shreveport,LA,73,39.9,71.0,1.4,19.0,47679.0,52.4,232973
Bronx,NY,348,39.0,58.2,0.0,25.0,51751.5,32.0,1419250
St. Louis,MO,104,38.6,67.2,0.0,21.0,49343.5,44.3,293109
Augusta,GA,56,37.6,62.0,0.0,19.7,52347.0,60.7,206040
New Orleans,LA,182,35.3,66.2,0.0,20.9,57138.0,58.5,376035
Detroit,MI,587,33.9,68.8,0.0,19.3,54482.0,31.0,1773767
Columbus,GA,59,33.5,79.4,1.7,20.0,49904.0,50.2,204383
Baltimore,MD,199,33.4,65.8,0.0,19.7,57073.0,71.7,577193
Kanawha,WV,57,32.2,58.3,0.0,15.6,56951.0,4.1,178198
Montgomery,AL,71,31.0,65.7,0.0,18.4,53068.0,64.4,227197
Birmingham,AL,189,30.9,64.1,0.0,16.3,59746.0,46.4,669744
Tuscaloosa,AL,59,30.1,59.5,0.0,17.0,61081.0,31.3,234036
Memphis,TN,245,29.8,71.1,0.8,16.5,53643.0,63.9,922195
Baton Rouge,LA,107,29.8,62.8,0.0,15.7,60318.0,44.2,452821
El Paso,TX,187,28.7,65.0,0.0,18.9,54950.0,1.4,866275
Columbia,SC,98,28.4,62.2,0.0,16.1,64628.0,46.5,418725
Richmond,VA,75,27.5,59.5,0.0,15.4,62543.0,36.9,227595
Cleveland,OH,422,27.2,66.3,0.0,13.5,61369.5,19.4,1249418
Flint,MI,132,27.1,66.8,0.0,15.2,57282.5,8.1,404087
Gary,IN,131,27.1,73.4,1.5,15.1,61934.0,17.6,498990
Savannah,GA,86,26.8,55.3,0.0,12.5,64076.5,38.2,298143
Oklahoma City,OK,263,26.7,61.8,0.0,14.4,62595.0,9.7,800487
Greensboro,NC,125,26.6,56.3,0.0,12.5,64615.0,30.0,542987
East St. Louis,IL,68,26.6,70.7,1.5,12.3,68897.0,25.3,254777
Columbus,OH,155,26.2,62.3,0.0,13.7,62446.0,11.1,535528
Durham,NC,95,25.6,60.8,0.0,12.1,67232.0,20.4,386740
San Antonio,TX,372,25.6,58.6,0.0,13.1,65637.0,4.6,2037344
Tulsa,OK,208,25.1,55.3,0.0,13.4,66722.5,6.0,673708
Jacksonville,FL,416,24.8,59.5,0.0,10.6,73873.5,18.2,1946127
Cincinnati,OH,226,24.6,62.9,0.0,11.7,70480.0,17.0,827878
Houston,TX,1112,24.6,63.8,0.0,14.0,69420.5,13.6,4758579
Miami,FL,218,24.6,62.0,0.0,12.3,69232.0,22.1,1007189
Lakeland,FL,327,24.1,54.4,0.0,12.4,71786.0,11.3,1489634
Brooklyn,NY,780,24.1,60.9,0.0,15.8,77640.0,12.1,2646306
Suffolk,VA,36,23.8,50.6,0.0,6.7,88979.0,32.8,96638
Chicago,IL,1328,22.7,68.4,0.0,11.4,77597.0,6.5,5185812
Los Angeles,CA,2477,21.7,70.7,0.0,11.9,86522.0,3.8,9848406
Camden,NJ,129,21.3,57.4,0.0,9.4,91020.0,12.7,524042
Phoenix,AZ,998,20.8,60.4,0.0,9.0,84815.0,3.7,4491987
Charlotte,NC,303,20.6,57.1,0.0,7.1,85747.0,27.2,1130906
Dallas,TX,289,18.8,47.9,0.0,8.4,95703.0,5.1,1307625
San Diego,CA,735,18.7,50.7,0.0,8.2,104273.0,2.7,3282782
Louisville,KY,215,17.4,52.6,0.0,11.9,64713.0,14.2,777392
Oakland,CA,377,17.2,57.2,0.0,7.3,123232.0,6.4,1651949
Seattle,WA,494,16.1,47.9,0.0,6.8,126203.5,3.4,2262713
Chester,PA,150,13.8,43.2,0.0,7.2,89434.5,9.7,576195
